GO ID	GO Name	GO Category	FDR	P-Value	Population
GO:0061404	positive regulation of transcription from RNA polymerase II promoter in response to increased salt	BIOLOGICAL_PROCESS	1.83E-06	2.39E-09	Iquitos
GO:0036251	positive regulation of transcription from RNA polymerase II promoter in response to salt stress	BIOLOGICAL_PROCESS	1.83E-06	2.39E-09	Iquitos
GO:0048247	lymphocyte chemotaxis	BIOLOGICAL_PROCESS	1.83E-06	2.39E-09	Iquitos
GO:2000406	positive regulation of T cell migration	BIOLOGICAL_PROCESS	1.83E-06	2.39E-09	Iquitos
GO:2000403	positive regulation of lymphocyte migration	BIOLOGICAL_PROCESS	1.83E-06	2.39E-09	Iquitos
GO:0023016	signal transduction by trans-phosphorylation	BIOLOGICAL_PROCESS	1.83E-06	2.39E-09	Iquitos
GO:1901623	regulation of lymphocyte chemotaxis	BIOLOGICAL_PROCESS	1.83E-06	2.39E-09	Iquitos
GO:0010819	regulation of T cell chemotaxis	BIOLOGICAL_PROCESS	1.83E-06	2.39E-09	Iquitos
GO:0010818	T cell chemotaxis	BIOLOGICAL_PROCESS	1.83E-06	2.39E-09	Iquitos
GO:0010820	positive regulation of T cell chemotaxis	BIOLOGICAL_PROCESS	1.83E-06	2.39E-09	Iquitos
GO:0009620	response to fungus	BIOLOGICAL_PROCESS	1.83E-06	1.97E-09	Iquitos
GO:0140131	positive regulation of lymphocyte chemotaxis	BIOLOGICAL_PROCESS	1.83E-06	2.39E-09	Iquitos
GO:1903789	regulation of amino acid transmembrane transport	BIOLOGICAL_PROCESS	1.84E-06	2.50E-09	Iquitos
GO:2000650	negative regulation of sodium ion transmembrane transporter activity	BIOLOGICAL_PROCESS	2.64E-06	3.86E-09	Iquitos
GO:0061393	positive regulation of transcription from RNA polymerase II promoter in response to osmotic stress	BIOLOGICAL_PROCESS	2.64E-06	3.86E-09	Iquitos
GO:0010033	response to organic substance	BIOLOGICAL_PROCESS	2.99E-06	4.52E-09	Iquitos
GO:0051955	regulation of amino acid transport	BIOLOGICAL_PROCESS	3.10E-06	4.85E-09	Iquitos
GO:0036438	maintenance of lens transparency	BIOLOGICAL_PROCESS	3.61E-06	6.03E-09	Iquitos
GO:0070098	chemokine-mediated signaling pathway	BIOLOGICAL_PROCESS	3.61E-06	6.03E-09	Iquitos
GO:0016020	membrane	CELLULAR_COMPONENT	3.64E-06	6.27E-09	Iquitos
GO:0071475	cellular hyperosmotic salinity response	BIOLOGICAL_PROCESS	3.72E-06	6.75E-09	Iquitos
GO:0009605	response to external stimulus	BIOLOGICAL_PROCESS	3.72E-06	6.80E-09	Iquitos
GO:1903036	positive regulation of response to wounding	BIOLOGICAL_PROCESS	4.74E-06	8.90E-09	Iquitos
GO:1902306	negative regulation of sodium ion transmembrane transport	BIOLOGICAL_PROCESS	4.74E-06	9.16E-09	Iquitos
GO:0019748	secondary metabolic process	BIOLOGICAL_PROCESS	6.55E-06	1.30E-08	Iquitos
GO:0002094	polyprenyltransferase activity	MOLECULAR_FUNCTION	7.41E-06	1.51E-08	Iquitos
GO:0032890	regulation of organic acid transport	BIOLOGICAL_PROCESS	8.86E-06	1.99E-08	Iquitos
GO:1990868	response to chemokine	BIOLOGICAL_PROCESS	8.86E-06	1.96E-08	Iquitos
GO:1990869	cellular response to chemokine	BIOLOGICAL_PROCESS	8.86E-06	1.96E-08	Iquitos
GO:0071476	cellular hypotonic response	BIOLOGICAL_PROCESS	8.86E-06	1.96E-08	Iquitos
GO:0042493	response to drug	BIOLOGICAL_PROCESS	9.35E-06	2.15E-08	Iquitos
GO:0051952	regulation of amine transport	BIOLOGICAL_PROCESS	1.12E-05	2.62E-08	Iquitos
GO:0030157	pancreatic juice secretion	BIOLOGICAL_PROCESS	1.16E-05	2.79E-08	Iquitos
GO:0006952	defense response	BIOLOGICAL_PROCESS	1.17E-05	2.86E-08	Iquitos
GO:0065007	biological regulation	BIOLOGICAL_PROCESS	1.49E-05	3.82E-08	Iquitos
GO:0009698	phenylpropanoid metabolic process	BIOLOGICAL_PROCESS	1.49E-05	3.79E-08	Iquitos
GO:0030033	microvillus assembly	BIOLOGICAL_PROCESS	1.95E-05	5.33E-08	Iquitos
GO:0014070	response to organic cyclic compound	BIOLOGICAL_PROCESS	1.95E-05	5.39E-08	Iquitos
GO:0071474	cellular hyperosmotic response	BIOLOGICAL_PROCESS	1.95E-05	5.15E-08	Iquitos
GO:0032528	microvillus organization	BIOLOGICAL_PROCESS	1.95E-05	5.33E-08	Iquitos
GO:0060457	negative regulation of digestive system process	BIOLOGICAL_PROCESS	3.40E-05	9.59E-08	Iquitos
GO:0048680	positive regulation of axon regeneration	BIOLOGICAL_PROCESS	3.54E-05	1.04E-07	Iquitos
GO:0070572	positive regulation of neuron projection regeneration	BIOLOGICAL_PROCESS	3.54E-05	1.04E-07	Iquitos
GO:0032941	secretion by tissue	BIOLOGICAL_PROCESS	4.03E-05	1.26E-07	Iquitos
GO:0061416	regulation of transcription from RNA polymerase II promoter in response to salt stress	BIOLOGICAL_PROCESS	4.03E-05	1.26E-07	Iquitos
GO:0010766	negative regulation of sodium ion transport	BIOLOGICAL_PROCESS	4.03E-05	1.26E-07	Iquitos
GO:0009607	response to biotic stimulus	BIOLOGICAL_PROCESS	4.03E-05	1.22E-07	Iquitos
GO:0051707	response to other organism	BIOLOGICAL_PROCESS	4.97E-05	1.61E-07	Iquitos
GO:0043207	response to external biotic stimulus	BIOLOGICAL_PROCESS	4.97E-05	1.61E-07	Iquitos
GO:0061392	regulation of transcription from RNA polymerase II promoter in response to osmotic stress	BIOLOGICAL_PROCESS	5.00E-05	1.64E-07	Iquitos
GO:0090168	Golgi reassembly	BIOLOGICAL_PROCESS	6.63E-05	2.21E-07	Iquitos
GO:2000404	regulation of T cell migration	BIOLOGICAL_PROCESS	7.60E-05	2.70E-07	Iquitos
GO:2000401	regulation of lymphocyte migration	BIOLOGICAL_PROCESS	7.60E-05	2.70E-07	Iquitos
GO:0072678	T cell migration	BIOLOGICAL_PROCESS	7.60E-05	2.70E-07	Iquitos
GO:0072676	lymphocyte migration	BIOLOGICAL_PROCESS	7.60E-05	2.70E-07	Iquitos
GO:0009628	response to abiotic stimulus	BIOLOGICAL_PROCESS	8.56E-05	3.13E-07	Iquitos
GO:0010930	negative regulation of auxin mediated signaling pathway	BIOLOGICAL_PROCESS	8.56E-05	3.12E-07	Iquitos
GO:0050832	defense response to fungus	BIOLOGICAL_PROCESS	9.08E-05	3.39E-07	Iquitos
GO:0044058	regulation of digestive system process	BIOLOGICAL_PROCESS	9.08E-05	3.41E-07	Iquitos
GO:0098542	defense response to other organism	BIOLOGICAL_PROCESS	1.02E-04	3.88E-07	Iquitos
GO:0036481	intrinsic apoptotic signaling pathway in response to hydrogen peroxide	BIOLOGICAL_PROCESS	1.12E-04	4.32E-07	Iquitos
GO:0015837	amine transport	BIOLOGICAL_PROCESS	1.16E-04	4.55E-07	Iquitos
GO:0009871	jasmonic acid and ethylene-dependent systemic resistance, ethylene mediated signaling pathway	BIOLOGICAL_PROCESS	1.21E-04	4.80E-07	Iquitos
GO:0017144	drug metabolic process	BIOLOGICAL_PROCESS	1.45E-04	5.89E-07	Iquitos
GO:0051683	establishment of Golgi localization	BIOLOGICAL_PROCESS	1.45E-04	5.86E-07	Iquitos
GO:0070887	cellular response to chemical stimulus	BIOLOGICAL_PROCESS	1.51E-04	6.23E-07	Iquitos
GO:0007589	body fluid secretion	BIOLOGICAL_PROCESS	1.93E-04	8.04E-07	Iquitos
GO:0002690	positive regulation of leukocyte chemotaxis	BIOLOGICAL_PROCESS	2.32E-04	9.79E-07	Iquitos
GO:1903436	regulation of mitotic cytokinetic process	BIOLOGICAL_PROCESS	2.53E-04	1.10E-06	Iquitos
GO:0044425	membrane part	CELLULAR_COMPONENT	2.53E-04	1.09E-06	Iquitos
GO:0044281	small molecule metabolic process	BIOLOGICAL_PROCESS	2.56E-04	1.12E-06	Iquitos
GO:0016094	polyprenol biosynthetic process	BIOLOGICAL_PROCESS	2.61E-04	1.18E-06	Iquitos
GO:0000035	acyl binding	MOLECULAR_FUNCTION	2.61E-04	1.18E-06	Iquitos
GO:1901017	negative regulation of potassium ion transmembrane transporter activity	BIOLOGICAL_PROCESS	2.61E-04	1.19E-06	Iquitos
GO:1902412	regulation of mitotic cytokinesis	BIOLOGICAL_PROCESS	2.68E-04	1.23E-06	Iquitos
GO:0016093	polyprenol metabolic process	BIOLOGICAL_PROCESS	2.89E-04	1.34E-06	Iquitos
GO:0002687	positive regulation of leukocyte migration	BIOLOGICAL_PROCESS	3.04E-04	1.43E-06	Iquitos
GO:0051704	multi-organism process	BIOLOGICAL_PROCESS	3.29E-04	1.57E-06	Iquitos
GO:0002688	regulation of leukocyte chemotaxis	BIOLOGICAL_PROCESS	3.44E-04	1.71E-06	Iquitos
GO:1901380	negative regulation of potassium ion transmembrane transport	BIOLOGICAL_PROCESS	3.44E-04	1.71E-06	Iquitos
GO:0009725	response to hormone	BIOLOGICAL_PROCESS	3.44E-04	1.66E-06	Iquitos
GO:0043267	negative regulation of potassium ion transport	BIOLOGICAL_PROCESS	3.44E-04	1.71E-06	Iquitos
GO:1901701	cellular response to oxygen-containing compound	BIOLOGICAL_PROCESS	3.48E-04	1.75E-06	Iquitos
GO:0010035	response to inorganic substance	BIOLOGICAL_PROCESS	3.51E-04	1.78E-06	Iquitos
GO:1903034	regulation of response to wounding	BIOLOGICAL_PROCESS	3.97E-04	2.03E-06	Iquitos
GO:0006950	response to stress	BIOLOGICAL_PROCESS	4.03E-04	2.09E-06	Iquitos
GO:0048313	Golgi inheritance	BIOLOGICAL_PROCESS	4.19E-04	2.19E-06	Iquitos
GO:2001024	negative regulation of response to drug	BIOLOGICAL_PROCESS	5.36E-04	2.84E-06	Iquitos
GO:0009611	response to wounding	BIOLOGICAL_PROCESS	5.36E-04	2.85E-06	Iquitos
GO:1901806	beta-glucoside biosynthetic process	BIOLOGICAL_PROCESS	6.20E-04	3.34E-06	Iquitos
GO:0050891	multicellular organismal water homeostasis	BIOLOGICAL_PROCESS	7.11E-04	3.90E-06	Iquitos
GO:0010421	hydrogen peroxide-mediated programmed cell death	BIOLOGICAL_PROCESS	7.11E-04	3.90E-06	Iquitos
GO:2000649	regulation of sodium ion transmembrane transporter activity	BIOLOGICAL_PROCESS	9.43E-04	5.27E-06	Iquitos
GO:0035329	hippo signaling	BIOLOGICAL_PROCESS	9.43E-04	5.27E-06	Iquitos
GO:0032954	regulation of cytokinetic process	BIOLOGICAL_PROCESS	9.63E-04	5.43E-06	Iquitos
GO:0046677	response to antibiotic	BIOLOGICAL_PROCESS	9.92E-04	5.65E-06	Iquitos
GO:0097194	execution phase of apoptosis	BIOLOGICAL_PROCESS	0.001199963	6.89E-06	Iquitos
GO:0080027	response to herbivore	BIOLOGICAL_PROCESS	0.001241055	7.19E-06	Iquitos
GO:0050789	regulation of biological process	BIOLOGICAL_PROCESS	0.001349496	7.89E-06	Iquitos
GO:0031156	regulation of sorocarp development	BIOLOGICAL_PROCESS	0.001453279	8.57E-06	Iquitos
GO:0050636	vinorine synthase activity	MOLECULAR_FUNCTION	0.001492394	8.88E-06	Iquitos
GO:0048679	regulation of axon regeneration	BIOLOGICAL_PROCESS	0.001503027	9.10E-06	Iquitos
GO:0070570	regulation of neuron projection regeneration	BIOLOGICAL_PROCESS	0.001503027	9.10E-06	Iquitos
GO:0009719	response to endogenous stimulus	BIOLOGICAL_PROCESS	0.001559541	9.53E-06	Iquitos
GO:1901135	carbohydrate derivative metabolic process	BIOLOGICAL_PROCESS	0.001652485	1.02E-05	Iquitos
GO:1903438	positive regulation of mitotic cytokinetic process	BIOLOGICAL_PROCESS	0.001679545	1.05E-05	Iquitos
GO:1903490	positive regulation of mitotic cytokinesis	BIOLOGICAL_PROCESS	0.001679545	1.05E-05	Iquitos
GO:0031102	neuron projection regeneration	BIOLOGICAL_PROCESS	0.001703472	1.09E-05	Iquitos
GO:0031103	axon regeneration	BIOLOGICAL_PROCESS	0.001703472	1.09E-05	Iquitos
GO:0051179	localization	BIOLOGICAL_PROCESS	0.001813646	1.16E-05	Iquitos
GO:0097468	programmed cell death in response to reactive oxygen species	BIOLOGICAL_PROCESS	0.001815425	1.18E-05	Iquitos
GO:1904063	negative regulation of cation transmembrane transport	BIOLOGICAL_PROCESS	0.002203052	1.44E-05	Iquitos
GO:0006971	hypotonic response	BIOLOGICAL_PROCESS	0.002595109	1.75E-05	Iquitos
GO:0003333	amino acid transmembrane transport	BIOLOGICAL_PROCESS	0.002595109	1.74E-05	Iquitos
GO:0080154	regulation of fertilization	BIOLOGICAL_PROCESS	0.002595109	1.73E-05	Iquitos
GO:0045730	respiratory burst	BIOLOGICAL_PROCESS	0.002595109	1.73E-05	Iquitos
GO:0051048	negative regulation of secretion	BIOLOGICAL_PROCESS	0.002618009	1.78E-05	Iquitos
GO:0044444	cytoplasmic part	CELLULAR_COMPONENT	0.002719553	1.86E-05	Iquitos
GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress	BIOLOGICAL_PROCESS	0.00301121	2.08E-05	Iquitos
GO:0042538	hyperosmotic salinity response	BIOLOGICAL_PROCESS	0.003108797	2.16E-05	Iquitos
GO:0036474	cell death in response to hydrogen peroxide	BIOLOGICAL_PROCESS	0.00313325	2.19E-05	Iquitos
GO:0005737	cytoplasm	CELLULAR_COMPONENT	0.003203294	2.26E-05	Iquitos
GO:0022600	digestive system process	BIOLOGICAL_PROCESS	0.00326312	2.32E-05	Iquitos
GO:0002685	regulation of leukocyte migration	BIOLOGICAL_PROCESS	0.003433509	2.46E-05	Iquitos
GO:0031224	intrinsic component of membrane	CELLULAR_COMPONENT	0.003676505	2.65E-05	Iquitos
GO:0006865	amino acid transport	BIOLOGICAL_PROCESS	0.003764581	2.74E-05	Iquitos
GO:0080002	UDP-glucose:4-aminobenzoate acylglucosyltransferase activity	MOLECULAR_FUNCTION	0.003764581	2.75E-05	Iquitos
GO:0043900	regulation of multi-organism process	BIOLOGICAL_PROCESS	0.00404117	2.98E-05	Iquitos
GO:1904423	dehydrodolichyl diphosphate synthase complex	CELLULAR_COMPONENT	0.004073165	3.05E-05	Iquitos
GO:0050921	positive regulation of chemotaxis	BIOLOGICAL_PROCESS	0.004073165	3.06E-05	Iquitos
GO:0045547	dehydrodolichyl diphosphate synthase activity	MOLECULAR_FUNCTION	0.004073165	3.05E-05	Iquitos
GO:0010976	positive regulation of neuron projection development	BIOLOGICAL_PROCESS	0.004431622	3.36E-05	Iquitos
GO:0007586	digestion	BIOLOGICAL_PROCESS	0.004733334	3.61E-05	Iquitos
GO:1902410	mitotic cytokinetic process	BIOLOGICAL_PROCESS	0.004773521	3.66E-05	Iquitos
GO:0002684	positive regulation of immune system process	BIOLOGICAL_PROCESS	0.004816046	3.72E-05	Iquitos
GO:1902305	regulation of sodium ion transmembrane transport	BIOLOGICAL_PROCESS	0.004835192	3.79E-05	Iquitos
GO:0008217	regulation of blood pressure	BIOLOGICAL_PROCESS	0.004835192	3.79E-05	Iquitos
GO:1901657	glycosyl compound metabolic process	BIOLOGICAL_PROCESS	0.004856947	3.83E-05	Iquitos
GO:0048856	anatomical structure development	BIOLOGICAL_PROCESS	0.004888123	3.88E-05	Iquitos
GO:0016021	integral component of membrane	CELLULAR_COMPONENT	0.005014688	4.01E-05	Iquitos
GO:0001101	response to acid chemical	BIOLOGICAL_PROCESS	0.00511897	4.12E-05	Iquitos
GO:0051716	cellular response to stimulus	BIOLOGICAL_PROCESS	0.005154682	4.19E-05	Iquitos
GO:1901804	beta-glucoside metabolic process	BIOLOGICAL_PROCESS	0.005154682	4.20E-05	Iquitos
GO:0044550	secondary metabolite biosynthetic process	BIOLOGICAL_PROCESS	0.005597972	4.59E-05	Iquitos
GO:0032870	cellular response to hormone stimulus	BIOLOGICAL_PROCESS	0.006181731	5.10E-05	Iquitos
GO:0043406	positive regulation of MAP kinase activity	BIOLOGICAL_PROCESS	0.006538872	5.46E-05	Iquitos
GO:0051645	Golgi localization	BIOLOGICAL_PROCESS	0.006538872	5.46E-05	Iquitos
GO:0050920	regulation of chemotaxis	BIOLOGICAL_PROCESS	0.00702012	5.90E-05	Iquitos
GO:0080184	response to phenylpropanoid	BIOLOGICAL_PROCESS	0.007125061	6.03E-05	Iquitos
GO:0045666	positive regulation of neuron differentiation	BIOLOGICAL_PROCESS	0.007429218	6.32E-05	Iquitos
GO:0006979	response to oxidative stress	BIOLOGICAL_PROCESS	0.007467057	6.39E-05	Iquitos
GO:0032502	developmental process	BIOLOGICAL_PROCESS	0.007803603	6.72E-05	Iquitos
GO:0016138	glycoside biosynthetic process	BIOLOGICAL_PROCESS	0.007858327	6.89E-05	Iquitos
GO:0002215	defense response to nematode	BIOLOGICAL_PROCESS	0.007858327	6.89E-05	Iquitos
GO:0004659	prenyltransferase activity	MOLECULAR_FUNCTION	0.007858327	6.85E-05	Iquitos
GO:0046482	para-aminobenzoic acid metabolic process	BIOLOGICAL_PROCESS	0.007873847	6.95E-05	Iquitos
GO:0010266	response to vitamin B1	BIOLOGICAL_PROCESS	0.008039943	7.18E-05	Iquitos
GO:0019010	farnesoic acid O-methyltransferase activity	MOLECULAR_FUNCTION	0.008039943	7.18E-05	Iquitos
GO:0008194	UDP-glycosyltransferase activity	MOLECULAR_FUNCTION	0.008041568	7.22E-05	Iquitos
GO:0048308	organelle inheritance	BIOLOGICAL_PROCESS	0.008187838	7.44E-05	Iquitos
GO:1903960	negative regulation of anion transmembrane transport	BIOLOGICAL_PROCESS	0.008187838	7.44E-05	Iquitos
GO:0030595	leukocyte chemotaxis	BIOLOGICAL_PROCESS	0.00822066	7.51E-05	Iquitos
GO:0048678	response to axon injury	BIOLOGICAL_PROCESS	0.008550696	7.86E-05	Iquitos
GO:0001894	tissue homeostasis	BIOLOGICAL_PROCESS	0.008677614	8.02E-05	Iquitos
GO:0009751	response to salicylic acid	BIOLOGICAL_PROCESS	0.008699387	8.09E-05	Iquitos
GO:1903792	negative regulation of anion transport	BIOLOGICAL_PROCESS	0.009237373	8.64E-05	Iquitos
GO:0009991	response to extracellular stimulus	BIOLOGICAL_PROCESS	0.009237373	8.68E-05	Iquitos
GO:0031347	regulation of defense response	BIOLOGICAL_PROCESS	0.009244971	8.74E-05	Iquitos
GO:0097237	cellular response to toxic substance	BIOLOGICAL_PROCESS	0.009291214	8.83E-05	Iquitos
GO:0044464	cell part	CELLULAR_COMPONENT	0.009358325	8.94E-05	Iquitos
GO:0005623	cell	CELLULAR_COMPONENT	0.009494018	9.12E-05	Iquitos
GO:1901617	organic hydroxy compound biosynthetic process	BIOLOGICAL_PROCESS	0.009589411	9.26E-05	Iquitos
GO:0009269	response to desiccation	BIOLOGICAL_PROCESS	0.01019505	9.90E-05	Iquitos
GO:0071470	cellular response to osmotic stress	BIOLOGICAL_PROCESS	0.010459561	1.02E-04	Iquitos
GO:0006972	hyperosmotic response	BIOLOGICAL_PROCESS	0.010589638	1.04E-04	Iquitos
GO:0009536	plastid	CELLULAR_COMPONENT	0.010613616	1.05E-04	Iquitos
GO:0071902	positive regulation of protein serine/threonine kinase activity	BIOLOGICAL_PROCESS	0.011330466	1.12E-04	Iquitos
GO:0042737	drug catabolic process	BIOLOGICAL_PROCESS	0.011333779	1.13E-04	Iquitos
GO:0032154	cleavage furrow	CELLULAR_COMPONENT	0.011489506	1.15E-04	Iquitos
GO:0031667	response to nutrient levels	BIOLOGICAL_PROCESS	0.012175117	1.23E-04	Iquitos
GO:0031346	positive regulation of cell projection organization	BIOLOGICAL_PROCESS	0.012180225	1.23E-04	Iquitos
GO:1901576	organic substance biosynthetic process	BIOLOGICAL_PROCESS	0.012365476	1.26E-04	Iquitos
GO:0006810	transport	BIOLOGICAL_PROCESS	0.012489218	1.28E-04	Iquitos
GO:0009699	phenylpropanoid biosynthetic process	BIOLOGICAL_PROCESS	0.013870335	1.43E-04	Iquitos
GO:1905039	carboxylic acid transmembrane transport	BIOLOGICAL_PROCESS	0.014575416	1.53E-04	Iquitos
GO:1903825	organic acid transmembrane transport	BIOLOGICAL_PROCESS	0.014575416	1.53E-04	Iquitos
GO:0071310	cellular response to organic substance	BIOLOGICAL_PROCESS	0.014575416	1.51E-04	Iquitos
GO:0032467	positive regulation of cytokinesis	BIOLOGICAL_PROCESS	0.014575416	1.51E-04	Iquitos
GO:0080018	anthocyanin 5-O-glucosyltransferase activity	MOLECULAR_FUNCTION	0.01565275	1.65E-04	Iquitos
GO:0071472	cellular response to salt stress	BIOLOGICAL_PROCESS	0.015735317	1.67E-04	Iquitos
GO:0034614	cellular response to reactive oxygen species	BIOLOGICAL_PROCESS	0.016056413	1.71E-04	Iquitos
GO:0035251	UDP-glucosyltransferase activity	MOLECULAR_FUNCTION	0.016319093	1.75E-04	Iquitos
GO:0006790	sulfur compound metabolic process	BIOLOGICAL_PROCESS	0.016737256	1.81E-04	Iquitos
GO:0046527	glucosyltransferase activity	MOLECULAR_FUNCTION	0.016737256	1.81E-04	Iquitos
GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	MOLECULAR_FUNCTION	0.017234732	1.88E-04	Iquitos
GO:0016758	transferase activity, transferring hexosyl groups	MOLECULAR_FUNCTION	0.017234732	1.88E-04	Iquitos
GO:0016757	transferase activity, transferring glycosyl groups	MOLECULAR_FUNCTION	0.017515759	1.93E-04	Iquitos
GO:0044283	small molecule biosynthetic process	BIOLOGICAL_PROCESS	0.017515759	1.93E-04	Iquitos
GO:0036473	cell death in response to oxidative stress	BIOLOGICAL_PROCESS	0.017774925	1.97E-04	Iquitos
GO:0016137	glycoside metabolic process	BIOLOGICAL_PROCESS	0.017868498	1.99E-04	Iquitos
GO:0051241	negative regulation of multicellular organismal process	BIOLOGICAL_PROCESS	0.018661645	2.10E-04	Iquitos
GO:0009741	response to brassinosteroid	BIOLOGICAL_PROCESS	0.018661645	2.10E-04	Iquitos
GO:0017001	antibiotic catabolic process	BIOLOGICAL_PROCESS	0.018661645	2.10E-04	Iquitos
GO:0043231	intracellular membrane-bounded organelle	CELLULAR_COMPONENT	0.018856902	2.14E-04	Iquitos
GO:0009266	response to temperature stimulus	BIOLOGICAL_PROCESS	0.019780206	2.25E-04	Iquitos
GO:0009507	chloroplast	CELLULAR_COMPONENT	0.020278604	2.33E-04	Iquitos
GO:0006082	organic acid metabolic process	BIOLOGICAL_PROCESS	0.020278604	2.33E-04	Iquitos
GO:0006489	dolichyl diphosphate biosynthetic process	BIOLOGICAL_PROCESS	0.020849527	2.45E-04	Iquitos
GO:0046465	dolichyl diphosphate metabolic process	BIOLOGICAL_PROCESS	0.020849527	2.45E-04	Iquitos
GO:0006208	pyrimidine nucleobase catabolic process	BIOLOGICAL_PROCESS	0.020849527	2.45E-04	Iquitos
GO:0019483	beta-alanine biosynthetic process	BIOLOGICAL_PROCESS	0.020849527	2.45E-04	Iquitos
GO:0032465	regulation of cytokinesis	BIOLOGICAL_PROCESS	0.020849527	2.42E-04	Iquitos
GO:0000187	activation of MAPK activity	BIOLOGICAL_PROCESS	0.022538833	2.66E-04	Iquitos
GO:0060326	cell chemotaxis	BIOLOGICAL_PROCESS	0.023225312	2.75E-04	Iquitos
GO:0032501	multicellular organismal process	BIOLOGICAL_PROCESS	0.024278351	2.89E-04	Iquitos
GO:0030104	water homeostasis	BIOLOGICAL_PROCESS	0.024372114	2.91E-04	Iquitos
GO:0051234	establishment of localization	BIOLOGICAL_PROCESS	0.024751461	2.97E-04	Iquitos
GO:0009058	biosynthetic process	BIOLOGICAL_PROCESS	0.025193507	3.04E-04	Iquitos
GO:1901615	organic hydroxy compound metabolic process	BIOLOGICAL_PROCESS	0.025760993	3.12E-04	Iquitos
GO:0098656	anion transmembrane transport	BIOLOGICAL_PROCESS	0.025993592	3.16E-04	Iquitos
GO:1902456	regulation of stomatal opening	BIOLOGICAL_PROCESS	0.026027723	3.19E-04	Iquitos
GO:0007275	multicellular organism development	BIOLOGICAL_PROCESS	0.026027723	3.19E-04	Iquitos
GO:0015020	glucuronosyltransferase activity	MOLECULAR_FUNCTION	0.026060818	3.21E-04	Iquitos
GO:0034599	cellular response to oxidative stress	BIOLOGICAL_PROCESS	0.026358442	3.26E-04	Iquitos
GO:0071495	cellular response to endogenous stimulus	BIOLOGICAL_PROCESS	0.026833282	3.33E-04	Iquitos
GO:0002028	regulation of sodium ion transport	BIOLOGICAL_PROCESS	0.027128006	3.40E-04	Iquitos
GO:0035725	sodium ion transmembrane transport	BIOLOGICAL_PROCESS	0.027128006	3.40E-04	Iquitos
GO:0032506	cytokinetic process	BIOLOGICAL_PROCESS	0.027776076	3.50E-04	Iquitos
GO:0009627	systemic acquired resistance	BIOLOGICAL_PROCESS	0.028921704	3.65E-04	Iquitos
GO:0000302	response to reactive oxygen species	BIOLOGICAL_PROCESS	0.029330654	3.72E-04	Iquitos
GO:0032155	cell division site part	CELLULAR_COMPONENT	0.029849104	3.80E-04	Iquitos
GO:0009987	cellular process	BIOLOGICAL_PROCESS	0.029865206	3.82E-04	Iquitos
GO:0016999	antibiotic metabolic process	BIOLOGICAL_PROCESS	0.029897247	3.84E-04	Iquitos
GO:0006629	lipid metabolic process	BIOLOGICAL_PROCESS	0.030179765	3.89E-04	Iquitos
GO:0048583	regulation of response to stimulus	BIOLOGICAL_PROCESS	0.031183909	4.04E-04	Iquitos
GO:0009753	response to jasmonic acid	BIOLOGICAL_PROCESS	0.031366034	4.08E-04	Iquitos
GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress	BIOLOGICAL_PROCESS	0.031888547	4.16E-04	Iquitos
GO:0018107	peptidyl-threonine phosphorylation	BIOLOGICAL_PROCESS	0.032721219	4.29E-04	Iquitos
GO:1901137	carbohydrate derivative biosynthetic process	BIOLOGICAL_PROCESS	0.033161202	4.36E-04	Iquitos
GO:0043436	oxoacid metabolic process	BIOLOGICAL_PROCESS	0.033521231	4.49E-04	Iquitos
GO:0009808	lignin metabolic process	BIOLOGICAL_PROCESS	0.033521231	4.46E-04	Iquitos
GO:0018210	peptidyl-threonine modification	BIOLOGICAL_PROCESS	0.033521231	4.50E-04	Iquitos
GO:0043076	megasporocyte nucleus	CELLULAR_COMPONENT	0.033521231	4.47E-04	Iquitos
GO:0043078	polar nucleus	CELLULAR_COMPONENT	0.033521231	4.47E-04	Iquitos
GO:1901659	glycosyl compound biosynthetic process	BIOLOGICAL_PROCESS	0.034023476	4.58E-04	Iquitos
GO:0019482	beta-alanine metabolic process	BIOLOGICAL_PROCESS	0.034808481	4.71E-04	Iquitos
GO:0006555	methionine metabolic process	BIOLOGICAL_PROCESS	0.034938246	4.74E-04	Iquitos
GO:0035336	long-chain fatty-acyl-CoA metabolic process	BIOLOGICAL_PROCESS	0.035584683	4.86E-04	Iquitos
GO:0043227	membrane-bounded organelle	CELLULAR_COMPONENT	0.035584683	4.87E-04	Iquitos
GO:0008610	lipid biosynthetic process	BIOLOGICAL_PROCESS	0.036391848	5.00E-04	Iquitos
GO:0048731	system development	BIOLOGICAL_PROCESS	0.036604089	5.06E-04	Iquitos
GO:0008483	transaminase activity	MOLECULAR_FUNCTION	0.036604089	5.06E-04	Iquitos
GO:0098869	cellular oxidant detoxification	BIOLOGICAL_PROCESS	0.038364949	5.33E-04	Iquitos
GO:0043271	negative regulation of ion transport	BIOLOGICAL_PROCESS	0.038905571	5.42E-04	Iquitos
GO:0010073	meristem maintenance	BIOLOGICAL_PROCESS	0.039092033	5.48E-04	Iquitos
GO:0044249	cellular biosynthetic process	BIOLOGICAL_PROCESS	0.039092033	5.49E-04	Iquitos
GO:0002376	immune system process	BIOLOGICAL_PROCESS	0.039143399	5.52E-04	Iquitos
